topic_num,size,top_words,sample_comments,docket_id
33,5,"wine, fining, agents, finished, wuumlthrich, 2018, low","I'm writing to oppose the proposed allergen labeling requirement for wine, spirits, and malt beverages. While I understand the intent — keeping consumers safe — this isn't the way to do it, and I believe it will cause more confusion than clarity. In winemaking, some substances that are technically considered allergens (egg whites, casein, isinglass, etc.) can be us ||| egg white, casein, or fish gelatine failed to elicit reactions in highly sensitive individuals, validating that finished wine poses extremely low risk of anaphylaxis related to such allergens. • In rare cases where trace residue was measurable, oral challenge studies involving up to 200mL wine showed no reaction in sensitized subjects. 3. Mandatory Labeling Is Disproportionate an ||| we believe that adding allergen information for primary ingredients would be beneficial to consumers, we do not think that including allergen information for fining agents on our back labels would enhance consumer health and safety. Fining agents pose a very low risk of reaction (Peñas et al., 2015; Vassilopoulou et al., 2011; Wüthrich, 2018), and most wine intolerances are due to sulf",TTB-2025-0003
30,5,"businesses, communities, dependent, small, events, agritourism, hotels","The current US Administration ran on a platform that emphasized reduction in regulations and promotion of the use of common sense; let's apply the Administration's policy strategy to this question. The grape and wine industry is an extremely regulated industry and operates on very fragile margins; any new regulation imposed should be carefully considered from the perspective of the impact ||| danger and harm sales, small businesses and rural communities. Many of our wineries in the not only the state but the region are small family owned farm businesses. Businesses that are already running on very tight budgets. These businesses bring in vital revenue, jobs, and tourism to often very economically stressed rural communities. Many other small businesses in those communities are depe ||| are dependent on the winery's presence, restaurants, hotels, bed and breakfast, events centers, and other agritourism based businesses are some examples. Placing these extra stresses on the wineries, but also endangers many supporting businesses dependent on the winery to bring customers to their rural communities.",TTB-2025-0003
29,5,"files, see, attached,, ,",See attached file(s) ||| See attached file(s) ||| See attached file(s),TTB-2025-0003
32,5,"major, brbras, brbrroughly, swiftly, beverages, feel, finalize","Dear Alcohol and Tobacco Tax and Trade Bureau, As a consumer, I feel alcoholic beverages should be required to disclose ingredients and major food allergens. Please act swiftly to finalize the proposed rule: Major Food Allergen Labeling for Wines, Distilled Spirits, and Malt Beverages, and require on-package labeling of major food allergens. Roughly 11% of U.S. adults have food ||| Dear Alcohol and Tobacco Tax and Trade Bureau, As a consumer, I feel alcoholic beverages should be required to disclose ingredients and major food allergens. Please act swiftly to finalize the proposed rule: Major Food Allergen Labeling for Wines, Distilled Spirits, and Malt Beverages, and require on-package labeling of major food allergens. Roughly 11% of U.S. adults have food ||| Dear Alcohol and Tobacco Tax and Trade Bureau, As a consumer, I feel alcoholic beverages should be required to disclose ingredients and major food allergens. Please act swiftly to finalize the proposed rule: Major Food Allergen Labeling for Wines, Distilled Spirits, and Malt Beverages, and require on-package labeling of major food allergens. Roughly 11% of U.S. adults have food",TTB-2025-0003
44,4,"postdistillation, distillation, based, an, beverage, allergen, protein","2019). In order to maintain allergen label consistency across agencies, the TTA should implement policy requiring alcohol and adult beverage companies to post allergen labels on all products in a consistent way with the FDA. These allergens should be based on the ingredient composition post-distillation. This rule change will open access to important information and will benefit widespread public ||| Any trace amount of allergen protein can be detrimental for a consumer with an allergy. According to FARE (Food Allergy Research & Education), 33 million Americans have food allergies and more than half of adults with food allergies have experienced a severe reaction. TTB should require companies that claim to have distilled their beverage so that there is no allergen protein to submit these t ||| and the consequences of accidental exposure can be severe or even life-threatening. Despite this, many alcoholic beverages—ranging from beer made with wheat, to liqueurs containing milk or nuts, to wines processed with fish or egg products—are not currently required to disclose ingredients or allergens. This creates an unacceptable risk for consumers with food allergies and is an outli",TTB-2025-0003
48,4,"beveragesrdquo, spirits, ldquomajor, distilled, notice, you, subject","comments on the notice ""Major Food Allergen Labeling for Wines, Distilled Spirits, and Malt Beverages"". You will find attached our detailed comments in the attached file. ||| ingredients of these wines, distilled spirits, and malt beverages, we feel that its can pose severe threats to the health and safety of someone with serious food allergies. Also, because every other food is subject to listing the major allergens, we believe that these beverages should be subject to these same rules and regulations. We recommend the implementation of Notice No. 238. Thank ||| spiritsEUROPE represents the interests of the European distilled spirits industry. Our members include 31 national associations of spirits producers and 11 leading international companies with a strong base in Europe. The United States is EU spirits' first export market in value, with exports worth EUR 2.89 billion in 2024. We would like to thank the TTB for the opportunity provide comments",TTB-2025-0003
47,4,"printing, drink, they, nonalcoholic, prioritize, physical, brbrplease","basic safety information. Please prioritize transparency and health of those with food allergies by requiring comprehensive labeling of both allergens and ingredients on the physical packaging of alcoholic beverages. This will ensure that Americans who drink have access to all the information they need to make more informed decisions about what and how much to drink. Thank you. ||| able to understand the allergens contained in all food and drink they consume, not just non-alcoholic beverages. Printing a label on a bottle costs less than $1 per label, especially if labels are printed in bulk as they would typically be in large manufacturing processes (Avery Printing). The cost of printing an additional allergen label does not outweigh the potential threat to human life posed ||| To whom it may concern, We are a group of allergen-concerned citizens who wish to convey our support for the proposed regulation. Thank you for your time and consideration of our stance on this issue. Approximately 33 million Americans have major food allergies which affect their everyday life (Food Allergy Research & Education Organization, 2024). It is imperative that they are able",TTB-2025-0003
46,4,"wine, brand's, tannins, oak, website, label, believe","While I believe the consumer should be able to access allergen and nutritional information of a wine or spirit brand, I believe this information can be delivered via a common application or website, or at the very least required to be on the brand's website. There simply is not enough room on a brand's packaging to include the information required in a legible format. ||| I do not believe the need for allergen information on wine bottles is necessary and in the public interest and should be a voluntary disclosure at the discretion of the producer. If it is ultimately decided that such information is required, then is should be through the use of a QR code on the label to provide ease of access to the disclosure. ||| I experienced a potentially life threatening anaphylactic reaction to oak tannins requiring an ER visit as a result of drinking Pinot Gris wine from Iris Winery in Oregon. Fortunately, this wine maker included its ingredients on the wine label, but it's not on their web site. As a retired registered dietitian I feel strongly that an ingredient label must include allergens such as oak tanni",TTB-2025-0003
45,4,"gap, agree, or, protein, allergy, food, written","is premade meatballs. It contains milk in the list. Knowing that the beverage I want to consume is allergy-friendly or safe for me to drink would make a big difference in the allergy community. ||| life-threatening food allergies, we recognize that transparency in ingredient labeling is a matter of public health and safety. The current lack of mandatory allergen disclosure in alcoholic beverages creates a dangerous information gap for millions of Americans with food allergies. This gap leaves them vulnerable to accidental allergen exposure that could result in severe or even fatal anaphylact ||| inconsistencies in how well educated restaurants and bar staff are about food allergy, anaphylaxis and cross-contact issues with food proteins."" We agree that these labels should be written clearly on food products, and should not be shared via QR code, as this may disadvantage individuals without smartphones or the internet, particularly affecting older adults, low-income individuals, a",TTB-2025-0003
43,4,"code, qr, clutter, space, info, allow, something","There is not need to clutter the labeling as it confuses consumers. I would suggestion that if this info becomes required, that the TTB allow it to be provided via a QR code instead of having to clutter up labels with all that additional (& ugly!) text. ||| already packed with required information — varietal, vintage, appellation, health warnings, alcohol content, government statements — and there's only so much space to work with. Every time you add something new, something else has to give. And for small producers, redesigning labels is expensive and time-consuming. If the TTB truly wants to make this information availabl ||| If more info is needed by some for various reasons, please add it as a QR code - The labels are works of art and already the infor needed takes a fair amount of space. Also, if a QR code is used, it shoul have a check list form of what needs to be added so it's easier for all - for the winery to get approval, for your team to approve it and for consumers to find what they",TTB-2025-0003
42,4,"there, detriment, infer, makers, most, allergen, act","allergies. It's good to revisit whether to make allergen labeling mandatory. As a starting point, there has ​also been a proliferation of creators of alcoholic beverages. There are now thousands of ​makers of vodka​ and other speciality alcoholic beverages. ​Many are local makers and they are regulated locally​ for production. However, I think that nationwide labeling is needed. Another concern for not labeling major",TTB-2025-0003
41,4,"here, really, seems, quantitative, brainer, debate, plenty","This seems like a reasonable proposal that should be passed. A no brainer! ||| I am in support of this, but the third exception (TTB Petition) that is stated here seems really vague, and I think it could use some quantitative data behind it to help people who are considering using this option have a bit more clarity. ||| I think this does no harm so why not. Don't really see the need to debate here. 5 years is plenty of time to comply.",TTB-2025-0003
40,4,"adjuncts, hugely, communication, allergens, nut, clarity, please","Would only want allergens like peanut or tree nut allergens to be added ||| Please add disclosure of top 9 allergens. Not knowing if you are consuming your allergen is left threatening. ||| This is hugely important for the physical health, safety, and well-being of many Americans! We need more clarity and communication about allergens in the foods and drinks we consume!",TTB-2025-0003
39,4,"breweries, affected, government, has, the, existing, american","aware of the risks thanks to the existing government warning that is already mandatory. These are responsible adults who are consciously choosing to imbibe with all the existing information. Furthermore, these allergens do not survive the distillation process, and are therefore redundant and unnecessary. This is government overreach due to misplaced good intentions. This should not be instituted. ||| I believe that the proposed rule will be of much benefit to the American consumer, primarily to the reinforcement of informed consent in the purchasing of products. The fact it has taken so long to require allergen labels onto alcoholic beverages is quite alarming, especially while the market for alcoholic beverages and breweries has exploded. According to the Brewers Association, the number of ||| There is no doubt that the law provides more benefits than harms. This proposed regulation allows those with severe allergies access to the information they deserve when buying and consuming beverages. Everyone is affected by not knowing the allergens associated with what they are consuming, but those who face severe allergies are the most affected. Many consumers are at a disadvantage by not havi",TTB-2025-0003
56,3,"from, regulationbrbri, certainly, imposes, quotthis, arenrsquot, she","I write in favor of this regulation. I think it is wise to require major food allergens to be included on labels for wines, spirits, and malt beverages. Many who suffer from such allergies may not realize that such allergens are used in the production of those beverages and requiring producers to include allergen information is prudent. ||| on the small businesses that are laboring under the regulations and are exposed to additional liability from frivolous lawsuits. As a grape and wine industry small business, I certainly would support a rule that required printing a GENERAL statement on wine labels, e.g., ""This product may contain allergens from eggs, milk, nuts, and shellfish"", but a rule that imposes a requirement to li ||| I think labeling products used is a great idea. I have family members with severe food allergies, and she has had reactions from wines and other alcoholic beverages that use some of the allergens in the process, but aren't ingredients. Implementing this rule would greatly help with this issue and provide safety and peace of mind.",TTB-2025-0003
61,3,"difficult, representatives, websites, company, save, had, lists","to declare their major allergens but alcoholic beverages get a pass. I myself have had trouble identifying ingredients and allergens in alcoholic beverages, and I read the ingredients and allergens labels of almost every food and beverage product I buy. I can not imagine how difficult it must be for people trying to navigate their allergens for the first time just to find less transparency when it ||| and changing labeling, which would reduce the burden on the industry, while also ensuring that consumers are protected. It is currently difficult to find allergen information for many of the major alcoholic beverage companies via their websites and company representatives, and even more difficult to locate this information for smaller companies and brands. The sooner the industry starts making the ||| held to the same standards as food and drink and required to proclaim what allergens are in these consumed products. I have personally suffered allergic reactions, which required hospitalization, due to drinking wine, not knowing the drink had egg in it. Allergen information is not easily located on beverage websites or even known by company representatives, when I've reached out for ingredien",TTB-2025-0003
60,3,"sufficient, necessary, period, foodsmdashis, producersmdashespecially, relabelingbrbrimplementation, resourcesmdashbe","GS1 US Comments on TTB Proposed Rule - Major Allergen Labeling ||| a necessary step toward protecting individuals with food allergies. Labeling allergens such as milk, eggs, fish, shellfish, tree nuts, wheat, peanuts, soybeans, and sesame—as well as any ingredient containing protein derived from these foods—is critical for safeguarding health and ensuring equity for consumers with dietary restrictions or medical vulnerabilities. The proposed ||| in labeling, reduce the risk of over- or under-disclosure, and help small producers navigate compliance without costly guesswork or unnecessary relabeling. Implementation Considerations Should the allergen labeling requirement be adopted, it is important that producers—especially small operations with limited staff and resources—be given sufficient lead time to update thei",TTB-2025-0003
59,3,"consume, agentsmdashcommon, requiredbrnearly, modernizes, productionmdashand, nuts, eggs","in the US. Without clear labeling, individuals may unknowingly consume beverages containing allergens like egg whites, milk proteins, or fish-derived fining agents—common in wine and beer production—and suffer severe reactions ||| The purpose of this rule is to label food and beverage products of the potential allergens such as dairy, nuts, eggs, etc if used in the production of alcoholic beverages. I support this ruling as it modernizes current rulings and protects the health and safety of consumers with these allergies. ||| milk and nuts in liqueurs, and even fish and eggs used as processing aids in wine. Consumers with food allergies have no way of knowing if they can safely consume alcoholic beverages because neither ingredient lists, nor major allergen labeling is required. Nearly all foods and beverages we consume are required to have basic labeling of ingredients and allergens. Alcohol shouldn't be exe",TTB-2025-0003
58,3,"specifically, new, there, quote, melbourne, suggested, solutionsbrbrldquottb's","food allergens used in production to be labeled on alcoholic beverages have gone largely unheard. This new regulation is important to protecting the health and safety of citizens with major, potentially life-threatening allergies, and there is no reason it should take any corporation five years to comply with the new changes. I suggest a revised one-year compliance date from the publishing of a fi ||| Overall, this policy is a step in the right direction for improved public safety but we have some concerns. According to the University of Melbourne, with regards to food allergen labels, there is major issues with allergen lists. Specifically, it leaves off other allergies that a significant portion of the population has and without ingredient labels of alcohol and tobacco products people with mo ||| I like the subject and spirit of this bill, but the methods suggested use too much vague language and do not stay consistent with FDA food labels or completely eliminate factors that could cause allergic reactions in consumers. I will quote a few examples of these discrepencies and offer what I think are simple solutions. ""TTB's proposal does not specifically address allergen ad",TTB-2025-0003
57,3,"alliance, prevention,allergy, justicebrallergy, licensed, americabrconsumer","See attached for comments from: Alcohol Justice Allergy and Asthma Network Alpha-gal Alliance Action Fund American Society for Nutrition Association of State Public Health Nutritionists Asthma and Allergy Foundation of America Celiac Disease Foundation Center for Science in the Public Interest Consumer Federation of America Consumer Reports CURED Nfp Disclosure of major food allergens on alcoholic beverages will help consumers stay safe and healthy. While this may present certain challenges or hurdles for producers such as the TTB, the goal is to provide consumers with the information necessary to make informed decisions. As legal-aged drinking students at a university, we need to review the information needed in ca",TTB-2025-0003
49,3,"frequently, allergies, are, comes, lives, save, almond","As someone with life-threatening food allergies, I strongly support the FDA's efforts to require allergen labeling on alcoholic beverages. The lack of clear, standardized allergen information on alcohol poses serious and avoidable risks for millions of Americans with food allergies and intolerances. Currently, those with allergies to ingredients such as wheat, nuts, soy, dairy, or e ||| It would save lives and panic when it comes to consuming alcohol as an adult with food allergies. I have severe tree nut allergies - Amaretto and almond extract are frequently used in drinks. There are also beers/ciders that use hazelnuts and other various forms of nuts for flavor. These have never been explicitly labeled, and I've frequently had to hold back on consuming different drinks due ||| Please sign this bill into law. It could save lives. Allergies are a life threatening food disability, many of those suffering with food allergies are unaware of what their beverages may contain. Some may come to find out by having a beverage with friends and instead of enjoying their day end up enduring an allergic reaction. Alcoholic beverages should be held to the same standards as food and dri",TTB-2025-0003
55,3,"allergic, million, people, adults, productsbralign, dietetics, 671","decision to consume a product hinges on accurate ingredient information. While foods are required to disclose major allergens under FALCPA, alcohol inexplicably remains exempt. This inconsistency places an unnecessary and inequitable burden on allergic individuals. Labeling allergens on alcoholic beverages would: Enhance consumer safety by enabling informed decision-making. Promot ||| Please consider labeling disclosure of major food allergens on alcohol beverages. In the United States, approximately 172.9 million adults aged 18 and older (67.1% of this age group) reported consuming alcohol in the past year, and at least 33 million people have a major food allergy. Labeling these allergens will increase public health and safety, as well as bring important awareness to what peop ||| I have been a volunteer in the field of substance abuse prevention for over 25 years. I have a Masters degree in Dietetics. I think it is extremely important to label all foods and beverages to prevent allergic reactions and drug interactions. Roughly 11% of U.S. adults have food allergies.Many alcoholic beverages contain major allergens, such as wheat in many beers, milk and nuts in liqueurs,",TTB-2025-0003
54,3,"guide, fermented, finished, cider, mead, ldquopresent, productionrdquo","fermented products such as cider, wine, and mead. This guide should: Clearly define ""used in production"" versus ""present in the finished product."" Provide examples of common cider- and wine-making inputs and whether they require allergen declaration. Include testing thresholds or detection methods that can be used to verify the absence of allergen ||| product and processing aids that are fully removed prior to packaging. For example, certain fining agents or fermentation aids—some of which may be derived from major allergen sources—are used temporarily during production but are filtered or racked out before bottling. In such cases, no detectable protein from the allergen source remains in the finished beverage. Mandating al ||| processing aids could cause unnecessary consumer alarm and potentially misrepresent the safety of the product. This approach would also be inconsistent with allergen-labeling practices in other food and beverage sectors, which typically focus on the presence of allergens in the final, consumable product. Guidance for Fermented Beverage Producers The ACA recommends that TTB develop a c",TTB-2025-0003
53,3,"voluntary, cited, undeclared, scientific, reactions, necessity, cues","a top-down regulation on mass producers without addressing establishments, such as through updated allergen training and awareness, further undermines arguments of regulatory necessity on this topic. Motor Vehicle Mfrs. Ass'n v. State Farm, 463 U.S. 29 (1983) Stockley, C. S., and D. L. Johnson. ""Adverse food reactions from consuming wine."" Australian Journal of Grape ||| a lack of cited scientific evidence of allergic reactions caused by undeclared allergens in wines, spirits, or malt beverages. A claim of regulatory necessity requires a good-faith effort to compile supportive scientific data (APA §706(2)(A)). Further, the European Food Safety Authority (EFSA) has published that finings are unlikely to pose an allergen risk because they are removed through pr ||| opposes the proposed Food Allergen labelling rule because it sends mixed signals about TTB commitment to voluntary compliance, relies on anecdotal incidents rather than hard data, ignores the prevalence of information cues, and the fact that allergic consumers maintain protective behaviors in the absence of label warnings. RATIONALE IN SUPPORT OF REJECTING THE RULE: 1. Under the",TTB-2025-0003
52,3,"dairy, sense, lists, ingredient, common, wouldrsquove, shocking","Allergens should most definitely be listed on alcohol beverage labels. This will help guide consumers both to and from products within their area of concern. ||| It's shocking to me that ingredients and major allergens are not already required on these consumable items. It seems the alcohol industry would've wanted to reduce their liability by including all ingredients and labeling for major allergens, especially given the litigious nature of our society. Liabilities aside, common sense labeling is just common sense. I am respectfully requestin ||| As someone with a dairy allergy, dairy can be a hidden ingredient. I rely heavily on ingredient lists and allergen lists to ensure that foods that I eat and drinks that I drink are safe. Please add allergens to alcohol labels!",TTB-2025-0003
51,3,"contents, along, listing, very, common, accidentally, bureaubrbri","The proposal to require disclosure of all contents in alcoholic beverages is crucial because its absence puts those with allergies at unnecessary risk. Over 10% of American adults suffer from a food allergy, and full transparency of contents within alcohol ensures their awareness and thus safety. ||| Dear Alcohol and Tobacco Tax and Trade Bureau, I am writing to you in support of this proposed rule. As someone with food allergies that drinks — and is loath to have to look up what is in the alcoholic libation they are considering purchasing — requiring the listing of the major food allergens that are found in the alcoholic beverage would be a very good ""quality of life ||| With this proposal I believe this is a very important aspect that the TTB should further go along with as many people do not know that many alcoholic beverages contain common food allergens. This would allow for safer drinking and make sure that no one accidentally has an allergic reaction while consuming alcohol. Along with the fact that these common food allergens should be stated throughout all",TTB-2025-0003
50,3,"georgiarsquos, wine, industry, industrybrbrgeorgiarsquos, wineriesbrbreconomic, statersquos, familyowned","As the proprietor, I am writing to express my concerns regarding the Alcohol and Tobacco Tax and Trade Bureau's (TTB) proposed rule, Notice No. 237 and Notice No. 238, which would mandate the inclusion of ""Alcohol Facts"" statements on wine labels. While I support initiatives that promote informed consumer choices, I am apprehensive about the economic and operational challenges th ||| on Georgia's wine industry. By exploring alternative strategies for consumer education, we can achieve the goal of informed decision-making without placing undue burdens on small businesses that are vital to our state's economy and cultural heritage. Thank you for your attention to this matter. I am committed to promoting responsible consumption and welcome the opportunity to ||| requirement may impose on Georgia's wine industry, particularly for small and family-owned wineries. Economic Impact on Georgia's Wine Industry Georgia's wine industry significantly contributes to the state's economy, supporting local agriculture, creating jobs, and attracting tourism. The proposed labeling changes would necessitate comprehensive label red",TTB-2025-0003
62,3,"cancer, et, 2023, al, seidenberg, cancercausing, seven","therefore alcoholic product must contain these warnings, as is seen on other potentially cancer-causing products (Seidenberg, Wiseman, & Klein, 2023). A recent study found that 65.1% of American support warning labels on products and 63.9% support drinking guidelines being added to alcoholic products (Seidenberg et al., 2021). That is why we also feel strongly that a cancer warning be prominen ||| that most other consumable products already contain this detailed labeling. Why should alcohol be any different than other consumables, especially because alcohol consumption is identified by the United States federal government's National Toxicology Program as a known human carcinogen (see attachment)? Years of evidence have shown that there is no safe amount of alcohol to consume for cancer ||| that excessive consumption is related to at least seven types of cancer in humans (Jun et al., 2023; LoConte et al., 2017). Most recent data shows that over 17,000 Americans die of alcohol-related cancers each year (CDC ARDI, 2024). A study conducted by the American Association for Cancer Research found only approximately 30% of Americans are aware of this association, therefore alcoholic product",TTB-2025-0003
-1,67,"to, and, this, is, health, for, the","allergic reactions caused by unlabeled drinks — such as alcohol— may happen. By adding per-serving information on the beverages, any consumers now have the information to make make informed decisions about the amount of alcohol they are consuming. This also helps consumers to be aware of their caloric intake to understand the effect alcohol could have on their overall health, not ||| I am in complete agreement with this proposed rule. It is only fair that alcoholic beverages like every other beverage and food item on the market contain per-serving information about calories, nutrients, and, when necessary, alcohol content. The reasons why I believe this proposed rule should go into effect are the number of calories consumed from alcoholic beverages, the amount of obesity tied ||| This proposal will provide consumers with information similar to what is already required on most packaged food and beverage products. Such information will help consumers make informed choices about their consumption of alcohol. The proposed labeling requirements will allow more consumers to know the number of calories found in each serving/container of alcohol they consume. Additionally, the pro",TTB-2025-0002
0,17,"files, attached, see, file, upload, allowing, system",See attached file(s) ||| See attached file(s) ||| See attached file(s),TTB-2025-0002
1,15,"sugar,, metabolic, calories, alcoholrsquos, content","Including sugar or carbohydrate content on alcohol labels, while seemingly informative, could be misleading because it frames sugar/carbs (carbohydrates are a sugar, after all) as the primary concern, overshadowing alcohol's more profound metabolic and nutritional impacts. It reinforces the false narrative that sugar/carbs are inherently worse, despite being a nutrient essential for survival ||| consumption under the guise of reducing sugar intake. To promote metabolic health, public awareness should focus on the dangers of alcohol itself, rather than deflecting attention to sugar. ||| '> Informing consumers about the risks of alcohol itself, rather than its sugar content, provides a clearer picture of the metabolic harm associated with drinking. Conclusion Including sugar content on alcohol labels risks creating a misleading narrative that positions sugar as the primary health concern in alcoholic beverages, downplaying alcohol's inherently har",TTB-2025-0002
3,13,"qr, code, formula, wait, store, load, grocery","is available for scanning on the bottles thereby giving all the information needed at their fingertips. In fact I just came across a TTB Beer Resources guide that has QR codes for formula, formula guidance, beer labeling guidance. The alcohol industry would be able to do the same if it is so necessary to list ingredients, calories, serving size, alc. content etc. Changing the la ||| regulate. Access to label information will only be available after purchase 2. Increase cost to the consumer 3. Less variety on store shelves 4. Less craft manufacturers, more corporate manufacturers 5. Average consumer may not know how to accurately read and interpet the label's nutrional information 6. Using a QR code will result in additional personal data collection< ||| code in grocery store, wait minutes for manufacturer website to load, confirm age, wait minutes for nutritional information page to load, read and interpret information. Repeat X amount times when comparing brands. Proponents of this rule change are projecting their loftiest ideals on how they think the average consumer will behave. The average consumer spends single digit seconds selecti",TTB-2025-0002
2,13,"wine, dry, nutritional, wines, labels, information, nutrition","We are against the requirement of nutrition labels on wine products. While we operate a wine marketing company and include some nutrition facts on our labels, we believe that it should be optional for each specific wine label. Beer and Spirits are not required to list nutrition facts and a requirement for wine will be an unfair advantage for other alcohol categories. Furthermore, it reduces and ob ||| I oppose nutritional labeling for wines. As both a producer and a consumer of dry wines, I know that the nutritional content does not vary significantly among them. Wines that are not dry, for instance wines that contain 5g/L or more residual sugar, are really a different category. I am not opposed to such labeling on those wines, but they first need to be identified as a separate category. There is no value to the consumer in nutritional labels that do not meaningfully vary from (dry) wine to (dry) wine. None will have fat, cholesterol, measurable vitamins, etc., and the calorie count will vary minimally. If the TTB wants to share this information with consumers, they could post the standard information for dry wines on th",TTB-2025-0002
4,12,"fl, oz, abv, 12, serving, size, cans","TTB Notice No. 237), then serving sizes should reflect common consumption amounts as they exist in practice. For beers in the 7% to 16% ABV range, that amount is 12 fl oz. Finally, if a different category must be established for beers greater than 7% ABV and up to 16%, then it should be a number of fluid ounces that divides into 12 fl oz without a remainder. Rather than 5 fl oz, the numbe ||| This comment addresses TTB's request for input on serving sizes of malt beverages. In short, the second tier of beverages containing more than 7% alcohol by volume (ABV) and up to 16% ABV, which currently assigned a serving size of 5 fl oz in the proposal, should have a serving size of 12 oz because this reflects the way in which such beverages are typically consumed, i.e., in 12 fl oz bottles ||| into 12 fl oz without a remainder. Rather than 5 fl oz, the number should be 6 or 4. I propose 6 fl oz because, at half the volume of 12 fl oz, it would allow for easy mental math. 4 fl oz has a similar advantage at a third the volume of 12 fl oz and is also a common serving size for ""flights"" of beer (i.e., tasting samples). 5 fl oz is a standard serving size for the",TTB-2025-0002
5,11,"qr, clutter, code, codes, allow, info, becomes","This label requirement will not help the consumer to make informed decisions. It will just clutter the label and confuse the consumer. If this becomes a requirement, please allow a QR code to be printed in the label and lined to the website ||| There is no need to clutter up the labels with excessive information. my primary suggestion is if this info becomes required, that the TTB allow it to be provided with a QR code instead of having to clutter up labels with all that additional (& ugly!) text. ||| to an even greater degree.. God help us. Not to mention, how would this info be monitored and checked? A logistical nightmare. I like the idea of having a website or QR code linked to more info about the product as that would allow more flexibility between batches/vintages/etc. (live updates) without the expense of having to constantly update a printed label. But again, I don't belie",TTB-2025-0002
6,10,"factsrdquo, beverage, panel, ldquoalcohol, percent, daily, display","beverage, this is the key piece of information a consumer needs when it comes to making a conscious dietary decision. Percent daily values are also very important to help consumers make conscious dietary decisions, as many do not have the background knowledge to how many grams of carbohydrates, for example, from a beverage would be considered high or low without having a percent daily value to pro ||| or ones that are cream based and also contribute some fat and protein. That said, having ""Serving Facts"" as the title of the panel would be more encompassing than the proposed ""Alcohol Facts"", since it will display information other than just the alcohol content. and it will display information based on the finished beverage, not just the alcohol component of the beverage. ||| nutrient content panel at the point of purchase. Regarding similarity to the FDA Nutrition Facts Label, the proposed nutrient content labeling should mimic two key elements: 1) highlighting of the calorie value and 2) display of percent daily values. On the 2016 FDA Nutrition Facts Label, calorie content is the largest and most prominent piece of information. When purchasing an alcohol be",TTB-2025-0002
7,9,"obesity, alcoholic, caloric, beverages, knowing, 65, students","of college students showed that 65% were unaware of the caloric content of the alcoholic beverages they consumed (Lloyd-Richardson et al, 2008). 65% of college students not knowing the caloric content of their alcoholic beverages is astronomically too high and this proposed rule could help lower that number by a large margin. Also, another study suggests that alcohol labeling can be effective in i ||| al, 2023). That shows that not only is obesity and heavy alcohol consumption linked, but it is also on the rise. It very well could be on the rise because of the lack of consistent labeling on alcoholic beverages that do not always include the caloric value which can lead to an overconsumption of calories which in turn can cause obesity. Finally, this proposed rule should go into effect because of ||| obesity. Finally, this proposed rule should go into effect because of the benefit of knowing what is in the product you are consuming. When there is no consistent labeling among alcoholic beverages it can lead to confusion or if there is a lack of any labeling it can lead consumers to be uninformed about what they are consuming. A study of college students showed that 65% were unaware of the calor",TTB-2025-0002
8,9,"cancer, warnings, standard, health, warning, drink, yukon","drink information and explicit cancer warnings on every alcohol label. Alcohol is not an ordinary consumer product. Even moderate use increases the risk of several cancers. Without clear, accessible information, consumers cannot make fully informed choices. We already do this for other products with health risks. Alcohol should be no exception to the rule. The TTB should require ||| alcoholic beverage containers: (1) Standard drink labeling Listing the number of standard drinks per container would make it far easier for consumers to track their intake, as opposed to ABV and product volume that requires a complex calculation. Studies from Canada's Yukon territory show that when standard drink information is displayed on alcoholic beverage containers, it is highly ||| warning. U.S. labels currently warn about drinking during pregnancy and impaired driving, but they do not explicitly mention cancer. Yet the evidence is clear: alcohol, even in small amounts, can increase the risk of breast, colon, and other cancers. The World Health Organization, the U.S. Surgeon General, and countries like Ireland have already called for these warnings. The study from Yukon",TTB-2025-0002
9,9,"requiring, adult, pointbrbrwhat, useful, besides, policies, consumer","as the nutritional content is really besides the point. What would be more useful are policies requiring more transparency by producers: for example, requiring the alcohol content for ALL adult beverages, requiring disclosure of any post-processing additives such as common allergens, colorants, sweeteners, glycerin, etc. ||| Speaking as a consumer and adult beverage producer, requiring yet another government mandated info panel that goes mostly unread is onerous on the producer (lab analysis is very costly) and a time waster for the consumer. The alcohol level is already required on spirits and other adult beverages and requiring a nutrient contents would also be useless for the consumer as the nutritional content is ||| Speaking as a consumer and adult beverage producer, requiring yet another government mandated info panel that goes mostly unread is onerous on the producer (lab analysis is very costly) and a time waster for the consumer. The alcohol level is already required on spirits and other adult beverages and requiring a nutrient contents would also be useless for the consumer as the nutritional content is",TTB-2025-0002
10,8,"regulation, glass, wine, regulating, government, thousands, big","financially burdensome, potentially resulting in higher product prices for consumers and reduced competitiveness in the market. Is more regulation really needed to help support this growing industry or harm it? I am a believer that allowing free market forces without tight regulation provides the best platform for successful businesses and communities. Should the government instead focus ||| The beer, wine, and distilled spirits industry should not need to be so heavily regulated by the government with regards to serving size, calories, allergens, etc. The wine industry especially has been around for thousands of years and we need to not be ""helicopter parents"" consumers know how many calories are in a glass of wine, in a can of beer, and in a shot glass of spirits Doing thi ||| The beer, wine, and distilled spirits industry should not need to be so heavily regulated by the government with regards to serving size, calories, allergens, etc. The wine industry especially has been around for thousands of years and we need to not be ""helicopter parents"" consumers know how many calories are in a glass of wine, in a can of beer, and in a shot glass of spirits Doing thi",TTB-2025-0002
